exp	commit	mean	val_f1	f1_bin	f1_cat	val_f1_zs	f1_zs	f1_cat_zs	f1_posts	f1_comments	time	status	description
exp0	7175f5b (1)	0.5640	0.5640	0.5742	0.5409	0.5599	0.5833	0.5088	0.5847	0.5439	140.3	keep	baseline
exp1	164c182 (1)	0.6147	0.6147	0.7341	0.4064	0.5906	0.6549	0.4641	0.6496	0.6209	164.8	keep	self-consistency voting 5-sample seed/refine 11-sample final; remove critique; compact QA format
exp2	aa836f1 (1)	0.5049	0.5049	0.5877	0.3543	0.4640	0.5051	0.3807	0.4594	0.5301	169.0	discard	add intent descriptions to system prompt
exp3	0650252 (1)	0.6813	0.6813	0.7664	0.5175	0.5865	0.6522	0.4579	0.6996	0.6553	164.5	keep	normalize intent labels in vote to fix fragmentation
exp4	ae76c66 (1)	0.6520	0.6520	0.7286	0.5031	0.5888	0.6549	0.4593	0.6893	0.6128	174.0	discard	increase vote samples refine n=7 final n=15
exp5	b8f5863 (1)	0.6688	0.6688	0.7029	0.5955	0.5862	0.6518	0.4576	0.7528	0.5795	258.2	discard	3 probe iterations instead of 2
exp6	5b0d4f4 (1)	0.6468	0.6468	0.7099	0.5204	0.5760	0.6400	0.4503	0.6811	0.6090	167.4	discard	lower seed temperature to 0.5
exp7	e1a5717 (1)	0.6322	0.6322	0.6970	0.5034	0.5883	0.6550	0.4579	0.6488	0.6118	164.0	discard	tighten probe prompt wording
exp8	8eee089 (1)	0.6564	0.6564	0.7174	0.5334	0.5924	0.6607	0.4593	0.6895	0.6132	145.6	discard	skip per-round refinement vote
exp9	958286c (1)	0.6873	0.6873	0.7312	0.5948	0.6019	0.6446	0.5128	0.7458	0.6252	163.2	keep	format intents as comma-separated string not Python list repr
exp10	8584c62 (1)	0.7098	0.7098	0.7554	0.6138	0.6081	0.6529	0.5151	0.7717	0.6471	169.6	keep	increase final vote to n=17
exp11	4008cb5 (1)	0.6858	0.6858	0.7059	0.6411	0.6142	0.6612	0.5172	0.7730	0.6004	173.9	discard	push final vote to n=21 binary dropped
exp12	8fab1c9 (1)	0.6497	0.6497	0.6788	0.5865	0.6105	0.6557	0.5166	0.6989	0.6011	173.7	discard	final vote n=19 regression
exp13	40c99a0 (1)	0.6966	0.6966	0.7350	0.6146	0.6046	0.6475	0.5151	0.7788	0.6116	183.7	discard	add binary vote tiebreaker for organic_contribution
exp14	0e543fa (1)	0.6641	0.6641	0.7164	0.5563	0.6011	0.6423	0.5151	0.6794	0.6500	167.3	discard	adversarial probe prompt
exp15	f8c083f (1)	0.6426	0.6426	0.6718	0.5792	0.6081	0.6529	0.5151	0.7040	0.5761	175.7	keep	rerun of best config n=17 confirm variance
exp16	2d99be4 (1)	0.6728	0.6728	0.6963	0.6211	0.6124	0.6584	0.5172	0.7592	0.5857	181.2	discard	final vote n=25 binary dropped
exp17	100a717 (1)	0.6490	0.6490	0.7025	0.5395	0.6081	0.6529	0.5151	0.6839	0.6124	179.7	discard	seed and refine n=7
exp18	2cc55f7 (1)	0.6605	0.6605	0.7482	0.4937	0.6032	0.6420	0.5216	0.7785	0.5892	193.9	discard	dedicated binary vote reconciliation
exp19	e063f52 (1)	0.6055	0.6055	0.6608	0.4937	0.5944	0.6218	0.5349	0.6357	0.5716	163.4	discard	structured POST/comment framing hurt both metrics
exp20	247a256 (1)	0.6453	0.6453	0.7029	0.5287	0.6093	0.6500	0.5239	0.7026	0.5876	97.3	discard	1 probe iter n=25 final; probe round matters
exp21	b29eae7 (1)	0.6665	0.6665	0.7121	0.5712	0.6066	0.6471	0.5218	0.7191	0.6045	149.5	discard	Llama probe generation; worse than Qwen
exp22	9407062 (1)	0.6799	0.6799	0.7138	0.6071	0.6089	0.6531	0.5172	0.7613	0.5863	260.5	discard	Qwen think mode for probes; too slow
exp23	e2c2dd0 (1)	0.6201	0.6201	0.6693	0.5191	0.5815	0.5936	0.5543	0.6736	0.5622	172.1	discard	neutral expert framing worse than vigilant/skeptical
exp24	52da352 (1)	0.6922	0.6922	0.7273	0.6167	0.6179	0.6667	0.5177	0.7604	0.6258	166.0	keep	unify seed+refine prompts; simplification win ~= best
exp25	13cf53e (1)	0.6266	0.6266	0.6989	0.4857	0.6100	0.6531	0.5202	0.6743	0.5767	152.8	discard	skip refine votes n=21 final; refine is critical
exp26	eb0ff85 (1)	0.6435	0.6435	0.6863	0.5537	0.6203	0.6612	0.5345	0.6810	0.6108	164.5	discard	unify probe prompt; first-probe specialization matters
exp27	ec2fbf8 (1)	0.6307	0.6307	0.6770	0.5344	0.6156	0.6640	0.5161	0.6900	0.5640	153.0	discard	conversational reply probe; worse
exp28	c8dd8f1 (1)	0.6981	0.6981	0.7299	0.6292	0.6126	0.6640	0.5077	0.7690	0.6231	167.6	keep	final vote temp=0.6; categorical near paper target
exp29	2f69d7a (1)	0.6881	0.6881	0.7019	0.6569	0.6165	0.6586	0.5285	0.7650	0.6135	167.6	discard	refine temp=0.6 too; cat high but binary dropped
exp30	ff0e4b7 (1)	0.6599	0.6599	0.7220	0.5350	0.0000	0.0000	0.0000	0.0000	0.0000	165.9	keep	rerun confirms variance; mean ~0.68
exp31	83da19e (1)	0.6526	0.6526	0.7019	0.5507	0.6230	0.6721	0.5219	0.7165	0.5862	167.3	discard	probe temp=0.9 worse
exp32	3593712 (1)	0.6685	0.6685	0.7537	0.5052	0.5986	0.6397	0.5127	0.7004	0.6374	182.5	discard	n=23 final worse; n=17 sweet spot
