exp	commit	val_f1	f1_bin	f1_cat	val_f1_zs	f1_zs	f1_cat_zs	f1_posts	f1_comments	time	status	description
exp0	6b0f5fb (1)	0.5427	0.5761	0.4720	0.5733	0.6087	0.4986	0.5620	0.5161	249.2	keep	baseline (unchanged train.py)
exp1	3c565e2 (1)	0.5418	0.5893	0.4452	0.5667	0.6000	0.4961	0.5348	0.5452	268.3	discard	self-consistency vote on init (5 samples, temp=1.0) — voted intent gets clobbered by first sample_intent_step
exp2	60970e1 (1)	0.6093	0.5986	0.6350	0.5636	0.5874	0.5117	0.6000	0.6186	310.6	keep	self-consistency voting on both init and sample_intent_step (5 samples, temp=1.0)
exp3	71bb5fd (1)	0.6190	0.6749	0.5058	0.5697	0.6372	0.4389	0.6666	0.5694	312.2	keep	add 'vigilant/skeptical of disguised bots' framing to INTENT_PROMPT
exp4	807f4ac (1)	0.6115	0.6941	0.4549	0.5802	0.6491	0.4464	0.6380	0.5826	350.7	discard	sharper adversarial probe questions — binary up, cat down more
exp5	24f2c21 (1)	0.6286	0.6802	0.5229	0.5687	0.6372	0.4362	0.6603	0.5974	325.7	keep	remove 'Suspected intent' leak from probe prompts (simpler + better)
exp6	d42481e (1)	0.6051	0.6801	0.4607	0.5767	0.6432	0.4472	0.6727	0.5343	312.0	discard	drop critique step — cat dropped significantly
exp7	5a01fc3 (1)	0.1427	0.0900	0.4183	0.5801	0.6462	0.4510	0.1708	0.1025	365.4	discard	separate LLM binary vote in finalize_intent — 'default benign' bias tanked binary
exp8	2f070a9 (2)	0.6371	0.6736	0.5596	0.5722	0.6386	0.4428	0.7096	0.5437	362.8	keep	final high-confidence vote (11 samples) in finalize_intent
exp9	4122735 (1)	0.6249	0.6679	0.5350	0.5668	0.6372	0.4314	0.6789	0.5584	537.7	discard	max_iterations 2->3 — no help, time jumped
exp10	d0f2e2e (1)	0.5921	0.6477	0.4804	0.5726	0.6372	0.4461	0.6441	0.5409	379.1	discard	init vote 5->11 — binary and cat both dropped, surprising (noise?)
exp11	552421a (1)	0.6365	0.6801	0.5453	0.5742	0.6416	0.4432	0.7084	0.5665	369.3	discard	suspicion-focused critique prompt — noise
exp12	9076132 (1)	0.5967	0.6759	0.4461	0.5642	0.6400	0.4203	0.6729	0.5145	361.2	discard	'bots will lie' warning — cat tanked
exp13	f4bf400 (1)	0.6322	0.6707	0.5508	0.5825	0.6507	0.4500	0.6876	0.5761	357.3	discard	weighted vote favoring malicious intents — slight drop, noise
exp14	bcc2f0e (1)	0.6047	0.6768	0.4649	0.5741	0.6505	0.4289	0.6487	0.5572	361.4	discard	majority vote across all intent predictions — dilutes final signal
exp15	65e339b (1)	0.6097	0.6681	0.4927	0.5698	0.6402	0.4343	0.6803	0.5348	205.1	discard	adaptive early convergence on unanimous vote — time halved but accuracy dropped
exp16	915c448 (1)	0.6372	0.6747	0.5576	0.5669	0.6402	0.4268	0.7185	0.5517	398.3	discard	boost vote counts init/refine/final (7/7/15) — noise
exp17	ed5d7ca (1)	0.6115	0.6588	0.5139	0.5661	0.6341	0.4343	0.6673	0.5572	398.0	discard	if organic, binary vote override — too many flips to malicious
exp18	70ec38d (1)	0.5692	0.6402	0.4328	0.5707	0.6416	0.4343	0.6133	0.5127	353.5	discard	finalize without probe conv — probes DO help, big drop
exp19	f02a669 (1)	0.6242	0.6426	0.5834	0.5727	0.6402	0.4415	0.7170	0.5298	358.7	discard	lower probe temp 0.7->0.3 — cat up, binary down
exp20	1ea755a (1)	0.6230	0.6802	0.5074	0.5708	0.6446	0.4299	0.6705	0.5767	364.9	discard	critique asks for red flags — no help
exp21	1a9e661 (1)	0.6209	0.6693	0.5211	0.5690	0.6341	0.4418	0.7070	0.5245	363.3	discard	vote temp 1.0 -> 0.8 — diversity matters; 1.0 is better
exp22	fe57f34 (1)	0.5924	0.6721	0.4412	0.5706	0.6386	0.4389	0.6492	0.5285	386.4	discard	finalize includes zero-shot prior — anchor hurts (as memory warned)
exp23	ebd5648 (1)	0.6097	0.6360	0.5525	0.5759	0.6490	0.4357	0.6550	0.5634	370.4	discard	multi-model ensemble finalize (Qwen+Mistral+Llama) — other models less reliable
exp24	445541a (1)	0.5768	0.6462	0.4426	0.5721	0.6414	0.4381	0.6146	0.5298	137.2	discard	no probes, 25 init votes — probes are irreplaceable
exp25	a3b0e85 (1)	0.6248	0.6875	0.4999	0.5685	0.6466	0.4211	0.6872	0.5610	362.0	discard	'poster is AI bot' framing — wash (binary up, cat down)
exp26	c54e43c (1)	0.5496	0.5957	0.4554	0.5034	0.5645	0.3854	0.5972	0.5023	363.4	discard	'disguise as organic' warning — over-aggressive, everything tanked
exp27	3061273 (1)	0.6302	0.6908	0.5085	0.5742	0.6491	0.4313	0.6919	0.5683	372.1	discard	follow-up probe asks for concrete action/belief — binary record, cat down, wash
exp28	bb0cf36 (2)	0.6449	0.6775	0.5748	0.5769	0.6477	0.4403	0.6959	0.5878	362.0	keep	mixed-temp voting (half at 0.3, half at 1.0) — new best, both binary and cat improved
exp29	486c9f2 (1)	0.6138	0.6708	0.4990	0.5768	0.6462	0.4426	0.6500	0.5798	359.6	discard	mixed-temp 2/3 at 0.3, 1/3 at 1.0 — too much low-temp
exp30	ffb26f5 (1)	0.6169	0.6556	0.5353	0.5858	0.6521	0.4562	0.6979	0.5292	363.3	discard	mixed-temp 1/3 at 0.3, 2/3 at 1.0 — 50/50 is sweet spot
exp31	028aebc (1)	0.6146	0.6463	0.5463	0.5803	0.6521	0.4420	0.6898	0.5344	360.5	discard	mixed-temp 0.5/1.0 — 0.3/1.0 still better
exp32	944a84c (1)	0.6488	0.6892	0.5634	0.5735	0.6462	0.4342	0.7372	0.5540	362.7	keep	mixed-temp 0.0/1.0 — tied with 0.3/1.0; prefer simpler greedy anchor
exp33	551eab5 (1)	0.6232	0.6759	0.5157	0.5776	0.6521	0.4353	0.6959	0.5287	373.6	discard	finalize 11 -> 15 — smaller vote better
exp34	be2417e (1)	0.6321	0.6680	0.5556	0.5734	0.6432	0.4386	0.7175	0.5391	365.8	discard	probe temp 0.7->0.3 with mixed voting — 0.7 still better
exp35	597f28a (1)	0.5975	0.6412	0.5069	0.5735	0.6462	0.4342	0.6429	0.5480	391.9	discard	dual probes per iter (determ+diverse) — hurts everything
exp36	0033876 (1)	0.6213	0.6693	0.5222	0.5735	0.6462	0.4342	0.6837	0.5601	363.1	discard	drop current intent from critique — hurts cat
exp37	5986e3e (1)	0.6270	0.6694	0.5384	0.5794	0.6507	0.4420	0.6631	0.5904	383.4	discard	refine samples 5 -> 7 — more not better
exp38	3b21888 (3)	0.6305	0.6862	0.5181	0.5813	0.6521	0.4446	0.6906	0.5671	364.0	keep	cleanup: drop unused CLASSIFY_PROMPT and _probe_history (simpler, equivalent)
exp39	c1f508a (1)	0.5938	0.6465	0.4870	0.5735	0.6462	0.4342	0.6570	0.5298	379.5	discard	finalize blends content-only+probe votes — dilutes probe signal
exp40	ad03e62 (1)	0.5951	0.6547	0.4764	0.5717	0.6433	0.4342	0.6666	0.5214	363.0	discard	mixed-temp 0.0/1.2 — 1.0 is sweet spot for high end
exp41	245b187 (2)	0.6292	0.6734	0.5377	0.5657	0.6334	0.4344	0.6773	0.5827	361.1	discard	label post vs comment (mean 0.629 across 2 runs) — no clear help
exp42	1f7ebc3 (2)	0.6342	0.6819	0.5367	0.5769	0.6491	0.4382	0.6957	0.5721	368.4	discard	skeptical PROBE_PROMPT — rerun 0.6160, mean 0.634 = noise
exp43	53b4222 (2)	0.6239	0.6681	0.5328	0.5782	0.6477	0.4437	0.6925	0.5544	367.5	discard	skeptical CRITIQUE_PROMPT (mean 0.624 across 2 runs)
exp44	e35d118 (1)	0.5381	0.6422	0.3561	0.5803	0.6521	0.4420	0.5772	0.4945	371.2	discard	leading first probe (name product/tool) — cat crashed to 0.36
exp45	1a2343c (1)	0.6020	0.6694	0.4700	0.5769	0.6491	0.4382	0.6678	0.5353	360.8	discard	mixed-temp only init+finalize, uniform for refines — mixed everywhere is better
exp46	35825da (1)	0.6040	0.6547	0.5005	0.5735	0.6462	0.4342	0.6699	0.5333	346.7	discard	finalize 11 -> 7 — too few samples for final
exp47	b7725d4 (1)	0.6255	0.6667	0.5391	0.5901	0.6542	0.4639	0.6913	0.5622	359.1	discard	drop community context — hurts val_f1 but cat_zs up 0.43->0.46
exp48	6250649 (1)	0.6194	0.6640	0.5266	0.5880	0.6515	0.4631	0.6447	0.5954	367.5	discard	drop community from init only — no clear help
exp49	0c93192 (1)	0.5579	0.5970	0.4763	0.5520	0.5962	0.4612	0.5945	0.5094	359.2	discard	reorder intents (organic first) — crashed everything, list order does matter
exp50	0a152db (1)	0.6249	0.6611	0.5480	0.5649	0.6126	0.4675	0.6634	0.5827	367.1	discard	intent order with elicitation last — noise, no clear help
exp51	56bcbeb (2)	0.6318	0.6794	0.5343	0.5802	0.6491	0.4464	0.7016	0.5520	360.9	discard	finalize Qwen+Mistral ensemble (mean 0.632 across 2) — no clear improvement
exp52	1dcdd28 (2)	0.6247	0.6757	0.5242	0.5799	0.6491	0.4456	0.6431	0.6076	329.1	discard	first probe uses t0 targeting (mean 0.625 across 2 runs) — cat up, binary down, net loss
exp53	143c5a9 (2)	0.6314	0.6783	0.5341	0.5789	0.6498	0.4420	0.6992	0.5575	362.1	discard	adaptive extra samples on split votes (mean 0.631 across 2) — noise
exp54	543e956 (2)	0.6283	0.6633	0.5539	0.5802	0.6521	0.4418	0.6881	0.5622	332.9	discard	dedupe greedy calls (mean 0.628 across 2) — faster but same variance
